Time,Lx,Ly,Lz
92.169,0.000000,0.000000,10241.639974
92.17,0.000000,0.000000,10241.655128
92.171,0.000000,0.000000,10241.670282
92.172,0.000000,0.000000,10241.685436
92.173,0.000000,0.000000,10241.700589
92.174,0.000000,0.000000,10241.715742
92.175,0.000000,0.000000,10241.730895
92.176,0.000000,0.000000,10241.746048
92.177,0.000000,0.000000,10241.761201
92.178,0.000000,0.000000,10241.776353
92.179,0.000000,0.000000,10241.791505
92.18,0.000000,0.000000,10241.806656
92.181,0.000000,0.000000,10241.821808
92.182,0.000000,0.000000,10241.836959
92.183,0.000000,0.000000,10241.852110
92.184,0.000000,0.000000,10241.867261
92.185,0.000000,0.000000,10241.882411
92.186,0.000000,0.000000,10241.897561
92.187,0.000000,0.000000,10241.912711
92.188,0.000000,0.000000,10241.927861
92.189,0.000000,0.000000,10241.943010
92.19,0.000000,0.000000,10241.958160
92.191,0.000000,0.000000,10241.973309
92.192,0.000000,0.000000,10241.988457
92.193,0.000000,0.000000,10242.003606
92.194,0.000000,0.000000,10242.018754
92.195,0.000000,0.000000,10242.033902
92.196,0.000000,0.000000,10242.049049
92.197,0.000000,0.000000,10242.064197
92.198,0.000000,0.000000,10242.079344
92.199,0.000000,0.000000,10242.094491
92.2,0.000000,0.000000,10242.109637
92.201,0.000000,0.000000,10242.124784
92.202,0.000000,0.000000,10242.139930
92.203,0.000000,0.000000,10242.155076
92.204,0.000000,0.000000,10242.170221
92.205,0.000000,0.000000,10242.185367
92.206,0.000000,0.000000,10242.200512
92.207,0.000000,0.000000,10242.215657
92.208,0.000000,0.000000,10242.230801
92.209,0.000000,0.000000,10242.245946
92.21,0.000000,0.000000,10242.261090
92.211,0.000000,0.000000,10242.276234
92.212,0.000000,0.000000,10242.291377
92.213,0.000000,0.000000,10242.306521
92.214,0.000000,0.000000,10242.321664
92.215,0.000000,0.000000,10242.336806
92.216,0.000000,0.000000,10242.351949
92.217,0.000000,0.000000,10242.367091
92.218,0.000000,0.000000,10242.382233
92.219,0.000000,0.000000,10242.397375
92.22,0.000000,0.000000,10242.412517
92.221,0.000000,0.000000,10242.427658
92.222,0.000000,0.000000,10242.442799
92.223,0.000000,0.000000,10242.457940
92.224,0.000000,0.000000,10242.473081
92.225,0.000000,0.000000,10242.488221
